experiment_id,config_id,tp_bps,sl_bps,horizon_minutes,probability_log_loss,probability_brier,probability_macro_auc_ovr,2x_fees_trade_count,2x_fees_expectancy,2x_fees_net_return_sum,3x_fees_trade_count,3x_fees_expectancy,3x_fees_net_return_sum,extra_slippage_trade_count,extra_slippage_expectancy,extra_slippage_net_return_sum,base_trade_count,base_expectancy,base_net_return_sum,base_sharpe,base_sortino,base_max_drawdown,base_profit_factor,delay_trade_count,delay_expectancy,opportunity_rate
EXP-023,tp10bp_sl10bph5m,10,10,5,0.8777147438749408,0.5123718132092785,0.513788893321789,0,,0.0,0,,0.0,0,,0.0,0,,0.0,,,0.0,,0,,0.0
EXP-023,tp10bp_sl15bph5m,10,15,5,1.1581847049186358,0.5104250625726188,0.46680651920132465,0,,0.0,0,,0.0,0,,0.0,0,,0.0,,,0.0,,0,,1.9051429333485746e-6
EXP-023,tp10bp_sl20bph5m,10,20,5,1.649752759001566,0.49694341479471055,0.40340988132754385,0,,0.0,0,,0.0,0,,0.0,0,,0.0,,,0.0,,0,,1.9051429333485746e-6
EXP-023,tp10bp_sl30bph5m,10,30,5,0.8661922088482596,0.45417353295222107,0.6087389611470574,0,,0.0,0,,0.0,0,,0.0,0,,0.0,,,0.0,,0,,1.9051429333485746e-6
EXP-023,tp15bp_sl10bph5m,15,10,5,1.1523284415236776,0.5121015514444736,0.5539917771958589,0,,0.0,0,,0.0,0,,0.0,0,,0.0,,,0.0,,0,,0.770251193095762
EXP-023,tp15bp_sl15bph5m,15,15,5,1.263593157553098,0.5602746136239887,0.4203658242741362,0,,0.0,0,,0.0,0,,0.0,0,,0.0,,,0.0,,0,,0.9483058516465198
EXP-023,tp15bp_sl20bph5m,15,20,5,1.0945987662698735,0.5657051852044807,0.6078629097660602,0,,0.0,0,,0.0,0,,0.0,0,,0.0,,,0.0,,0,,0.952996313548424
EXP-023,tp15bp_sl30bph5m,15,30,5,1.0009145548998903,0.5490169638679179,0.6050792597529782,0,,0.0,0,,0.0,0,,0.0,0,,0.0,,,0.0,,0,,0.9552119947799084
EXP-023,tp20bp_sl10bph5m,20,10,5,1.2430317069163603,0.49111909564393597,0.4323715001372431,0,,0.0,0,,0.0,0,,0.0,0,,0.0,,,0.0,,0,,0.6326941578791949
EXP-023,tp20bp_sl15bph5m,20,15,5,1.1166584075553003,0.5649331354946728,0.6046955898503772,0,,0.0,0,,0.0,0,,0.0,0,,0.0,,,0.0,,0,,0.7941454957658198
EXP-023,tp20bp_sl20bph5m,20,20,5,1.089238525383388,0.5916009152191759,0.6089052114859117,0,,0.0,0,,0.0,0,,0.0,0,,0.0,,,0.0,,0,,0.9081568694691319
EXP-023,tp20bp_sl30bph5m,20,30,5,1.0801594766078226,0.6131679129959914,0.6103141800391638,0,,0.0,0,,0.0,0,,0.0,0,,0.0,,,0.0,,0,,0.9107230970003525
EXP-023,tp30bp_sl10bph5m,30,10,5,0.8611086052502555,0.451139937033397,0.6085619106982164,0,,0.0,0,,0.0,0,,0.0,0,,0.0,,,0.0,,0,,0.45473475647510453
EXP-023,tp30bp_sl15bph5m,30,15,5,0.9979343121681397,0.5473721866235135,0.6028987180803205,0,,0.0,0,,0.0,0,,0.0,0,,0.0,,,0.0,,0,,0.5831528210403986
EXP-023,tp30bp_sl20bph5m,30,20,5,1.0782159102608788,0.6136359819951075,0.6123450710927949,0,,0.0,0,,0.0,0,,0.0,0,,0.0,,,0.0,,0,,0.6777184008230217
EXP-023,tp30bp_sl30bph5m,30,30,5,1.1318786832880414,0.6685227473403146,0.630734125368194,0,,0.0,0,,0.0,0,,0.0,0,,0.0,,,0.0,,0,,0.798376818220787
EXP-023,tp40bp_sl10bph5m,40,10,5,0.7962201626936098,0.416793438774564,0.6010406755877116,0,,0.0,0,,0.0,0,,0.0,0,,0.0,,,0.0,,0,,0.3471284733137104
EXP-023,tp40bp_sl15bph5m,40,15,5,0.9693779956050202,0.5328885280632556,0.6042038823613745,0,,0.0,0,,0.0,0,,0.0,0,,0.0,,,0.0,,0,,0.44952990598119624
EXP-023,tp40bp_sl20bph5m,40,20,5,1.0654534505065643,0.6099296861785308,0.6138508375386318,0,,0.0,0,,0.0,0,,0.0,0,,0.0,,,0.0,,0,,0.5266272302079463
EXP-023,tp40bp_sl30bph5m,40,30,5,1.1223187726622004,0.6763032843743755,0.6490901785803856,0,,0.0,0,,0.0,0,,0.0,0,,0.0,,,0.0,,0,,0.6278722411148896
EXP-023,tp10bp_sl10bph10m,10,10,10,0.8777147438749408,0.5123718132092785,0.513788893321789,0,,0.0,0,,0.0,0,,0.0,0,,0.0,,,0.0,,0,,0.0
EXP-023,tp10bp_sl15bph10m,10,15,10,1.1581847049186358,0.5104250625726188,0.46680651920132465,0,,0.0,0,,0.0,0,,0.0,0,,0.0,,,0.0,,0,,1.9051429333485746e-6
EXP-023,tp10bp_sl20bph10m,10,20,10,1.649752759001566,0.49694341479471055,0.40340988132754385,0,,0.0,0,,0.0,0,,0.0,0,,0.0,,,0.0,,0,,1.9051429333485746e-6
EXP-023,tp10bp_sl30bph10m,10,30,10,0.8661922088482596,0.45417353295222107,0.6087389611470574,0,,0.0,0,,0.0,0,,0.0,0,,0.0,,,0.0,,0,,1.9051429333485746e-6
EXP-023,tp15bp_sl10bph10m,15,10,10,1.1523284415236776,0.5121015514444736,0.5539917771958589,0,,0.0,0,,0.0,0,,0.0,0,,0.0,,,0.0,,0,,0.7702702445250955
EXP-023,tp15bp_sl15bph10m,15,15,10,1.263593157553098,0.5602746136239887,0.4203658242741362,0,,0.0,0,,0.0,0,,0.0,0,,0.0,,,0.0,,0,,0.9483249030758533
EXP-023,tp15bp_sl20bph10m,15,20,10,1.0945987662698735,0.5657051852044807,0.6078629097660602,0,,0.0,0,,0.0,0,,0.0,0,,0.0,,,0.0,,0,,0.9530153649777574
EXP-023,tp15bp_sl30bph10m,15,30,10,1.0009145548998903,0.5490169638679179,0.6050792597529782,0,,0.0,0,,0.0,0,,0.0,0,,0.0,,,0.0,,0,,0.9552329513521752
EXP-023,tp20bp_sl10bph10m,20,10,10,1.2430317069163603,0.49111909564393597,0.4323715001372431,0,,0.0,0,,0.0,0,,0.0,0,,0.0,,,0.0,,0,,0.6330923327522647
EXP-023,tp20bp_sl15bph10m,20,15,10,1.1166584075553003,0.5649331354946728,0.6046955898503772,0,,0.0,0,,0.0,0,,0.0,0,,0.0,,,0.0,,0,,0.794703702645291
EXP-023,tp20bp_sl20bph10m,20,20,10,1.089238525383388,0.5916009152191759,0.6089052114859117,0,,0.0,0,,0.0,0,,0.0,0,,0.0,,,0.0,,0,,0.908829384924604
EXP-023,tp20bp_sl30bph10m,20,30,10,1.0801594766078226,0.6131679129959914,0.6103141800391638,0,,0.0,0,,0.0,0,,0.0,0,,0.0,,,0.0,,0,,0.9113956124558245
EXP-023,tp30bp_sl10bph10m,30,10,10,0.8611086052502555,0.451139937033397,0.6085619106982164,0,,0.0,0,,0.0,0,,0.0,0,,0.0,,,0.0,,0,,0.45874317720686997
EXP-023,tp30bp_sl15bph10m,30,15,10,0.9979343121681397,0.5473721866235135,0.6028987180803205,0,,0.0,0,,0.0,0,,0.0,0,,0.0,,,0.0,,0,,0.5885539012564418
EXP-023,tp30bp_sl20bph10m,30,20,10,1.0782159102608788,0.6136359819951075,0.6123450710927949,0,,0.0,0,,0.0,0,,0.0,0,,0.0,,,0.0,,0,,0.6841596890806733
EXP-023,tp30bp_sl30bph10m,30,30,10,1.1318786832880414,0.6685227473403146,0.630734125368194,0,,0.0,0,,0.0,0,,0.0,0,,0.0,,,0.0,,0,,0.8062336276779165
EXP-023,tp40bp_sl10bph10m,40,10,10,0.7962201626936098,0.416793438774564,0.6010406755877116,0,,0.0,0,,0.0,0,,0.0,0,,0.0,,,0.0,,0,,0.35790586688766324
EXP-023,tp40bp_sl15bph10m,40,15,10,0.9693779956050202,0.5328885280632556,0.6042038823613745,0,,0.0,0,,0.0,0,,0.0,0,,0.0,,,0.0,,0,,0.46335933853437355
EXP-023,tp40bp_sl20bph10m,40,20,10,1.0654534505065643,0.6099296861785308,0.6138508375386318,0,,0.0,0,,0.0,0,,0.0,0,,0.0,,,0.0,,0,,0.5426875851360748
EXP-023,tp40bp_sl30bph10m,40,30,10,1.1223187726622004,0.6763032843743755,0.6490901785803856,0,,0.0,0,,0.0,0,,0.0,0,,0.0,,,0.0,,0,,0.6472284933177112
EXP-023,tp10bp_sl10bph15m,10,10,15,0.8777147438749408,0.5123718132092785,0.513788893321789,0,,0.0,0,,0.0,0,,0.0,0,,0.0,,,0.0,,0,,0.0
EXP-023,tp10bp_sl15bph15m,10,15,15,1.1581847049186358,0.5104250625726188,0.46680651920132465,0,,0.0,0,,0.0,0,,0.0,0,,0.0,,,0.0,,0,,1.9051429333485746e-6
EXP-023,tp10bp_sl20bph15m,10,20,15,1.649752759001566,0.49694341479471055,0.40340988132754385,0,,0.0,0,,0.0,0,,0.0,0,,0.0,,,0.0,,0,,1.9051429333485746e-6
EXP-023,tp10bp_sl30bph15m,10,30,15,0.8661922088482596,0.45417353295222107,0.6087389611470574,0,,0.0,0,,0.0,0,,0.0,0,,0.0,,,0.0,,0,,1.9051429333485746e-6
EXP-023,tp15bp_sl10bph15m,15,10,15,1.1523284415236776,0.5121015514444736,0.5539917771958589,0,,0.0,0,,0.0,0,,0.0,0,,0.0,,,0.0,,0,,0.7702550033816287
EXP-023,tp15bp_sl15bph15m,15,15,15,1.263593157553098,0.5602746136239887,0.4203658242741362,0,,0.0,0,,0.0,0,,0.0,0,,0.0,,,0.0,,0,,0.9483191876470533
EXP-023,tp15bp_sl20bph15m,15,20,15,1.0945987662698735,0.5657051852044807,0.6078629097660602,0,,0.0,0,,0.0,0,,0.0,0,,0.0,,,0.0,,0,,0.9530096495489574
EXP-023,tp15bp_sl30bph15m,15,30,15,1.0009145548998903,0.5490169638679179,0.6050792597529782,0,,0.0,0,,0.0,0,,0.0,0,,0.0,,,0.0,,0,,0.9552253307804418
EXP-023,tp20bp_sl10bph15m,20,10,15,1.2430317069163603,0.49111909564393597,0.4323715001372431,0,,0.0,0,,0.0,0,,0.0,0,,0.0,,,0.0,,0,,0.6333895350498672
EXP-023,tp20bp_sl15bph15m,20,15,15,1.1166584075553003,0.5649331354946728,0.6046955898503772,0,,0.0,0,,0.0,0,,0.0,0,,0.0,,,0.0,,0,,0.7950313872298269
EXP-023,tp20bp_sl20bph15m,20,20,15,1.089238525383388,0.5916009152191759,0.6089052114859117,0,,0.0,0,,0.0,0,,0.0,0,,0.0,,,0.0,,0,,0.9092637575134075
EXP-023,tp20bp_sl30bph15m,20,30,15,1.0801594766078226,0.6131679129959914,0.6103141800391638,0,,0.0,0,,0.0,0,,0.0,0,,0.0,,,0.0,,0,,0.911829985044628
EXP-023,tp30bp_sl10bph15m,30,10,15,0.8611086052502555,0.451139937033397,0.6085619106982164,0,,0.0,0,,0.0,0,,0.0,0,,0.0,,,0.0,,0,,0.4619971613370293
EXP-023,tp30bp_sl15bph15m,30,15,15,0.9979343121681397,0.5473721866235135,0.6028987180803205,0,,0.0,0,,0.0,0,,0.0,0,,0.0,,,0.0,,0,,0.5926785357071415
EXP-023,tp30bp_sl20bph15m,30,20,15,1.0782159102608788,0.6136359819951075,0.6123450710927949,0,,0.0,0,,0.0,0,,0.0,0,,0.0,,,0.0,,0,,0.6888768229836444
EXP-023,tp30bp_sl30bph15m,30,30,15,1.1318786832880414,0.6685227473403146,0.630734125368194,0,,0.0,0,,0.0,0,,0.0,0,,0.0,,,0.0,,0,,0.8114765810304918
EXP-023,tp40bp_sl10bph15m,40,10,15,0.7962201626936098,0.416793438774564,0.6010406755877116,0,,0.0,0,,0.0,0,,0.0,0,,0.0,,,0.0,,0,,0.36595319063812765
EXP-023,tp40bp_sl15bph15m,40,15,15,0.9693779956050202,0.5328885280632556,0.6042038823613745,0,,0.0,0,,0.0,0,,0.0,0,,0.0,,,0.0,,0,,0.47378809095152363
